between_to_within_signal_ratio	local_prediction_signal	replicate	global_spearman	pooled_within_target_centered_spearman	macro_target_spearman	attenuation
0.25	0.05	50	0.08035756274830747	0.04126286198809861	0.04440559440559441	0.03909470076020886
0.25	0.05	51	0.039586173323731474	-0.03513851051285452	-0.05104895104895105	0.074724683836586
0.25	0.05	52	0.05693092147980658	0.018245089059089625	0.005104895104895104	0.03868583242071695
0.25	0.05	53	0.11858039484749641	0.048569089284089775	0.03475524475524477	0.07001130556340664
0.25	0.05	54	0.024358864138100095	-0.04815926261059903	-0.031608391608391614	0.07251812674869912
0.25	0.05	55	0.025676184497350343	-0.034309037714609525	-0.03293706293706294	0.05998522221195987
0.25	0.05	56	0.02434504468405881	-0.016161615390010688	-0.006923076923076923	0.0405066600740695
0.25	0.05	57	0.11255910594382355	0.024263683516446886	0.01552447552447553	0.08829542242737667
0.25	0.05	58	0.04666752546355935	-0.012446064198655694	0.004475524475524481	0.05911358966221505
0.25	0.05	59	0.06272151577883041	0.019384416239177946	0.026223776223776224	0.043337099539652466
0.25	0.05	60	0.07426446823921405	0.023996593053189616	0.01713286713286714	0.050267875186024435
0.25	0.05	61	0.09963793030411827	0.0435510719104666	0.02678321678321678	0.05608685839365167
0.25	0.05	62	0.08280732139397319	0.018628617103206322	0.028531468531468526	0.06417870429076687
0.25	0.05	63	0.08062055598649721	0.01805295003677086	-0.0016083916083916017	0.06256760594972635
0.25	0.05	64	0.09885170059145876	0.046468296158539	0.019370629370629375	0.05238340443291976
0.25	0.05	65	0.10576095538955235	0.03150567465671851	0.015874125874125882	0.07425528073283384
0.25	0.05	66	0.08588987214574455	0.005534684399086388	-0.003566433566433568	0.08035518774665816
0.25	0.05	67	0.09290711312993967	0.03970174284843253	0.04230769230769231	0.05320537028150714
0.25	0.05	68	0.03385789851242952	-0.042541758709554664	-0.026083916083916085	0.07639965722198419
0.25	0.05	69	0.07237725165086921	-0.012552960106222298	-0.007202797202797204	0.0849302117570915
0.25	0.05	70	0.06903208266116852	0.02231686966449282	0.013076923076923076	0.04671521299667569
0.25	0.05	71	0.06736526900365902	-0.019701576181650127	-0.0241958041958042	0.08706684518530915
0.25	0.05	72	0.06890654090732005	0.008561422612099035	-0.0010489510489510492	0.06034511829522102
0.25	0.05	73	0.09242308501603126	0.014306621046264616	0.02503496503496504	0.07811646396976665
0.25	0.05	74	0.0602057570873313	0.01859011707647019	-0.0014685314685314727	0.04161564001086111
0.25	0.05	75	0.10392832217244596	0.030399500277430748	0.03601398601398602	0.07352882189501522
0.25	0.05	76	0.07250830729743563	-0.001898904096461178	0.0048251748251748276	0.0744072113938968
0.25	0.05	77	0.09391725966476366	0.032030306965490946	0.038251748251748256	0.06188695269927272
0.25	0.05	78	0.04587069157686915	-0.028148248714061606	-0.007552447552447549	0.07401894029093076
0.25	0.05	79	0.09382900265902963	0.015846705449101006	0.018951048951048953	0.07798229720992862
0.25	0.05	80	0.08692926175643177	0.036987157629970575	0.022307692307692313	0.0499421041264612
