stratum	control	replicate	spearman	mae
all_exact_kd	joint_permutation	63	0.09880852128539688	1.5871054740928046
all_exact_kd	joint_permutation	64	0.07516828395889386	1.6204598056037307
all_exact_kd	joint_permutation	65	0.10626446989402435	1.5658825991149599
all_exact_kd	joint_permutation	66	0.09102245241800677	1.5803260640081866
all_exact_kd	joint_permutation	67	0.09666173415180054	1.5895986621062772
all_exact_kd	joint_permutation	68	0.10758405565766611	1.5800847449412416
all_exact_kd	joint_permutation	69	0.09146801460614473	1.5981341423409385
all_exact_kd	joint_permutation	70	0.07300514296133442	1.5860052348263594
all_exact_kd	joint_permutation	71	0.07888226081400074	1.6020452080703262
all_exact_kd	joint_permutation	72	0.11439384862322778	1.572818763338653
all_exact_kd	joint_permutation	73	0.07501693925658465	1.5946696040794897
all_exact_kd	joint_permutation	74	0.08096321875812743	1.6092805569879902
all_exact_kd	joint_permutation	75	0.12452873209592238	1.5895765446694992
all_exact_kd	joint_permutation	76	0.04105469965985458	1.6268567396678895
all_exact_kd	joint_permutation	77	0.13462161248933452	1.556143067194994
all_exact_kd	joint_permutation	78	0.14006383177389964	1.570806735367891
all_exact_kd	joint_permutation	79	0.07590534732708641	1.5940533323345731
all_exact_kd	joint_permutation	80	0.1253484785714227	1.5693478031266284
all_exact_kd	joint_permutation	81	0.09201040901087969	1.59153784969065
all_exact_kd	joint_permutation	82	0.09656252669502861	1.5771652632493682
all_exact_kd	joint_permutation	83	0.08672067723218467	1.6035066274868568
all_exact_kd	joint_permutation	84	0.05567497922825869	1.5998826369171582
all_exact_kd	joint_permutation	85	0.11847277427061205	1.59724729856588
all_exact_kd	joint_permutation	86	0.11096717986141355	1.5820033002078127
all_exact_kd	joint_permutation	87	0.08412283578132464	1.5887391900564074
all_exact_kd	joint_permutation	88	0.09983795499084444	1.592439546879152
all_exact_kd	joint_permutation	89	0.08381454741058872	1.5968698576345837
all_exact_kd	joint_permutation	90	0.06718466740306955	1.599334890279852
all_exact_kd	joint_permutation	91	0.09402841349643568	1.578657448039948
all_exact_kd	joint_permutation	92	0.09328395201883234	1.5878512636074142
all_exact_kd	joint_permutation	93	0.059894253709699245	1.6195458823855304
all_exact_kd	joint_permutation	94	0.07700463208438285	1.60390342271639
all_exact_kd	joint_permutation	95	0.10481843930707298	1.596720267407175
all_exact_kd	joint_permutation	96	0.058399086458761726	1.6128563428507505
all_exact_kd	joint_permutation	97	0.08512036248554676	1.6081095074765894
all_exact_kd	joint_permutation	98	0.067969949062825	1.619401864640626
all_exact_kd	joint_permutation	99	0.09894545071036617	1.5775064002655983
drug_cold	protein_permutation	0	0.23777350686958904	1.668201108552046
drug_cold	protein_permutation	1	0.15854300762078546	1.728742937018687
drug_cold	protein_permutation	2	0.32983712443445884	1.583726980217944
drug_cold	protein_permutation	3	0.25362879017673634	1.6724711512763553
drug_cold	protein_permutation	4	0.2563237898156873	1.6357192977951103
drug_cold	protein_permutation	5	0.3329264514115877	1.5781293699601637
drug_cold	protein_permutation	6	0.20463717871765447	1.6563980462639059
drug_cold	protein_permutation	7	0.2409760398087102	1.6318628332466225
drug_cold	protein_permutation	8	0.25501123561586625	1.6428495138845984
drug_cold	protein_permutation	9	0.2645923462979306	1.641781819277978
drug_cold	protein_permutation	10	0.23046345330589968	1.686609782765901
drug_cold	protein_permutation	11	0.18654833939755172	1.6898775731492914
drug_cold	protein_permutation	12	0.28702847487504307	1.640379723509525
drug_cold	protein_permutation	13	0.3016774581121501	1.638560063236978
drug_cold	protein_permutation	14	0.3199321383673186	1.6176492784173302
drug_cold	protein_permutation	15	0.17160775687241783	1.7053455784486267
drug_cold	protein_permutation	16	0.1782208712000121	1.6875176163333827
