sensitivity	category	model_id	endpoint	nonabstained_pairs	exact_proteins	eligible_within_target_groups	estimate	bootstrap_se	ordinary_95_ci_low	ordinary_95_ci_high	valid_bootstrap_replicates
source_origin__database_entry_chembl_import	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	750	235	40	0.05055573072239902	0.09201141890772442	-0.11877085047964873	0.23852575176951857	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	750	235	40	0.17767014608752038	0.09419968656301307	-0.01260522964830972	0.3534940662105361	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	750	235	40	-0.01804621842233694	0.0700119363369776	-0.1364629826375587	0.14671894475349614	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	750	235	40	0.4705918022296629	0.033604311080508424	0.4059927176807081	0.5360895428840105	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	750	235	40	0.19571636450985733	0.12132547895434342	-0.06346038719721196	0.4060528144346888	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	smiles_protein_cross_attention_v1_8	source_wide_spearman	750	235	40	0.19714834309239246	0.09164400385935369	0.02478247023052086	0.38397712021311065	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	750	235	40	0.25809283234748	0.06296212556426203	0.12127038415041015	0.3747158838624693	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	750	235	40	0.5421081597363359	0.031212866533308865	0.5016243831175903	0.6248972736561195	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	smiles_protein_cross_attention_v1_8	target_rank_attenuation	750	235	40	-0.060944489255087525	0.10210566045577542	-0.2503405459535979	0.1479630683508087	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	source_wide_spearman	1939	130	91	0.19851204291842084	0.05592603478924346	0.08250703747137579	0.3005924785868167	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	1939	130	91	0.015653709984046908	0.04389077046034831	-0.06329885668256634	0.11412058647777057	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	1939	130	91	0.5124423524515458	0.014303582597320062	0.49132016761723213	0.545531111082232	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	target_rank_attenuation	1939	130	91	0.18285833293437392	0.05747175015058561	0.058146105218569846	0.28587896436862603	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	1939	130	91	0.18959199210907848	0.08096156807988462	0.029041738193240976	0.3426495573852844	2000
